date,BCG,MSH,PVD,VND,KDC,BMC,ACB,HPG,MBB,ANV,MSN,TLG,VNG,FRT,JVC,HHV,DAH,BWE,MPC,DGC,DPM,GEG,RAL,TCB,NSC,GVR,PVS,VCB,FPT,VRE,BID,PVC,TPB,NVL,KBC,SLS,VHM,REE,HAH,HCM,NBB,VIB,VHC,LTG,CTG,GAS,PHR,PLX,VPB,VJC,CII,ITA,DPR,DMC,PXS,PC1,MWG,SBT,BCM,DVP,PNJ,POW,CLC,LAS,BVH,SSI,SCS,DBC,HDB,GEX,FCN,AAA,VIC,SKG,SAB,STB,VNM,BMP,DHG,DCM,KDH,EIB,SHB
2020-02-17,3420,22280,10190,3380.0,16270,10410,10860.0,10820,10020,14980,40240,30320,18450.0,10530,3290,14970.0,8860,19520,8660,7350.0,7710,16900.0,46930,23800,69070.0,9960.0,13970,58160,26780,31400,35550,4430,8570,30234,10950,40920.0,63930,24570,4580,12800,16053,6270.0,30430,13060,17730,63160,31320,45660,9560,128699,21660,2260,15920,55730.0,5700.0,8200,34660,17490,24730.0,24670,56520,9873,22480.0,5210,50180,8380,51600,7190.0,9220,13430,8490,9976,95989,9600,86780,11650,75720,27880,83870,4790,17200,12250,4010.0
2020-02-18,3400,22280,10110,3350.0,16270,10410,10940.0,10610,9920,15060,40240,30560,18250.0,10420,3380,14970.0,8750,19800,9150,7530.0,7780,16510.0,47570,23700,68270.0,10150.0,13890,58160,27670,30550,35890,4430,8570,30067,10950,40540.0,63410,24650,4690,12760,16219,6130.0,31290,12510,17830,62220,33500,45410,9670,128699,21750,2330,16120,56230.0,5790.0,8430,35110,17820,24450.0,24890,57420,9873,22480.0,5210,49920,8330,51510,7530.0,9180,13140,8500,9855,92878,9720,83050,11550,74320,29550,84820,4830,17200,12290,3960.0
2020-02-19,3530,22380,10070,3350.0,16230,10410,10820.0,10590,9850,14930,40820,31830,18100.0,10390,3350,14970.0,8700,19980,9460,7470.0,7910,16550.0,47890,23650,68270.0,10590.0,14050,58220,27510,30150,35410,4360,8370,30123,11250,44560.0,63410,24680,4710,12710,16302,6210.0,31110,13060,18030,61710,34810,45500,9810,128400,21570,2490,16120,56230.0,5790.0,8360,35630,18100,25790.0,24930,58650,9968,21110.0,5390,50180,8360,51170,7440.0,9130,13430,8560,9936,93322,9680,83050,11400,74960,29420,83870,4840,17200,12220,3800.0
2020-02-20,3540,22440,10110,3330.0,16540,10410,10860.0,10820,9880,15390,41390,31600,18200.0,10990,3280,14970.0,8750,19660,9270,7440.0,8189,16610.0,47570,23500,68190.0,10590.0,14050,58220,27560,30900,35410,4430,8410,30345,11210,47610.0,64080,25030,4730,12730,16012,6270.0,31110,12860,17960,61710,37230,45750,10070,128500,21750,2450,16120,54890.0,5790.0,8300,35660,18100,25300.0,25000,58510,10398,21820.0,5390,51160,8360,51170,7300.0,9100,13430,8620,10623,97766,9680,83980,11300,74960,29760,83430,4920,17240,12140,3740.0
2020-02-21,3550,22310,10000,3320.0,16720,10450,10570.0,10730,9680,15020,42920,31760,17900.0,11760,3320,14970.0,8630,19250,8840,7420.0,8039,16440.0,47510,23100,68190.0,10320.0,14050,57900,27010,30700,34170,4430,8370,30067,11250,46490.0,63490,24570,4710,12710,16012,6440.0,31790,12860,17260,61780,37430,45410,10160,128600,21570,2400,15920,54890.0,5700.0,8150,35660,18100,25220.0,25080,57470,10254,21110.0,5390,52050,8280,50980,7120.0,9100,13390,8820,10744,97677,9600,84260,11300,76430,29900,83700,4880,17240,12220,3740.0
2020-02-24,3420,21620,9320,3200.0,16450,10170,9870.0,10340,9170,14490,41390,30480,17850.0,12250,3550,14970.0,8500,18340,8620,7240.0,7680,16160.0,47440,21500,67420.0,9870.0,13200,56720,25940,29350,31960,4150,7960,29844,10880,47310.0,61940,23630,4500,11820,15929,6130.0,29570,12300,16290,60700,38060,43510,9460,128000,21290,2240,15540,53870.0,5550.0,7760,34240,17980,23780.0,24570,55700,9539,21500.0,5120,49830,7720,50720,6800.0,8740,13280,8300,10017,95366,9130,83050,10850,74960,28210,84730,4770,17100,12140,3850.0
2020-02-25,3460,21670,9510,3240.0,16630,9930,10320.0,10520,9490,14530,40980,30880,17650.0,11930,3550,14970.0,8550,18840,9040,7420.0,7710,15810.0,47440,22200,65920.0,10320.0,13460,56070,26670,29200,33680,4290,8230,29900,10990,48350.0,61270,24040,4580,11860,15970,6170.0,29170,12170,17430,60050,35920,43690,9980,127000,21100,2260,15960,53540.0,5600.0,7680,34500,18020,23210.0,24600,56930,9491,21420.0,5210,50630,7780,50240,6910.0,8970,13390,8430,10178,95100,8790,83050,11150,76070,28490,84730,4780,17350,12140,3960.0
2020-02-26,3490,21570,9250,3220.0,16630,10010,10120.0,10360,9360,14320,40280,30880,17050.0,12200,3430,13310.0,8700,18610,9000,7350.0,7740,15540.0,47380,22350,67480.0,10860.0,13200,55290,27170,29000,32439,4220,8150,29956,10950,47610.0,59650,23940,4450,11530,15763,6100.0,28900,12170,17230,57800,35560,43090,9980,125000,20640,2220,15920,53540.0,5400.0,7700,34240,17940,23210.0,24250,56930,9730,21420.0,5210,49380,7650,50720,6780.0,8880,13360,8230,10178,94122,8790,82580,11200,73960,28020,83960,4780,17200,12180,4340.0
2020-02-27,3450,21540,9390,3240.0,16630,10490,10490.0,10450,9530,14400,40240,31030,16950.0,12430,3490,13310.0,8640,18880,9080,7320.0,7820,15400.0,47250,22750,67480.0,11220.0,13200,54640,27670,29000,32509,4290,8430,30011,10910,47610.0,59580,24300,4350,12000,15929,6300.0,28400,12380,17490,57150,35920,44030,10000,122800,20780,2270,15540,53200.0,5400.0,7630,34950,18180,23400.0,25890,57270,9634,21420.0,5210,50180,7830,49840,6680.0,8970,13100,8310,10259,93856,8880,80810,11650,75650,28080,85170,4800,17410,12220,4770.0
2020-02-28,3420,21360,8900,3190.0,16350,10010,10370.0,10180,9300,14320,39680,30320,16800.0,11570,3370,13310.0,8540,19020,9080,7350.0,7680,14700.0,46930,22250,66720.0,10950.0,12770,53600,27220,28500,31410,4080,8410,29789,10500,46130.0,59280,23940,4450,11560,15929,6210.0,27990,12100,17190,54840,37430,44380,9600,121900,19900,2220,15840,51940.0,5030.0,7540,34340,17820,23780.0,24120,56040,9396,20270.0,5120,48840,7550,47940,6470.0,8910,13180,8130,9976,93678,8790,75580,11600,73610,27470,83010,4770,17240,12140,5200.0
2020-03-02,3420,21830,8970,3190.0,16350,10090,10370.0,10160,9450,14000,39680,30320,16700.0,10770,3350,13310.0,8440,19340,9110,7320.0,7780,14130.0,46930,22500,65840.0,11040.0,12860,53210,27510,28550,31160,4150,8390,29844,10910,43150.0,59360,23900,4450,11590,15721,6270.0,29300,11890,17030,57150,37110,43690,9490,120800,19900,2230,15610,53110.0,4680.0,7460,34340,17610,24360.0,23980,55970,9520,21040.0,5120,48670,7500,45560,6590.0,8880,13000,8080,10017,93678,8790,79310,12350,73610,27210,82140,4720,17270,12500,5690.0
2020-03-03,3440,21470,9160,3260.0,16450,10090,10530.0,10160,9530,14890,39680,30320,16300.0,10880,3320,13310.0,8440,19160,9600,7320.0,8039,14700.0,46930,22500,67420.0,11760.0,13020,53470,27620,28450,32369,4080,8410,29900,11180,40470.0,59360,23860,4330,11650,16012,6270.0,30250,12170,17660,57870,37270,43260,9580,120800,20830,2300,15630,53020.0,4680.0,7700,34310,17360,23780.0,23840,56240,9472,20960.0,5120,49560,7570,45700,6730.0,8880,12930,8130,10219,93767,9010,79310,12250,74170,27820,81100,4720,17270,12360,6130.0
2020-03-04,3490,21440,9510,3250.0,16450,10240,10610.0,10180,9470,14530,39680,30710,16149.0,10720,3370,13310.0,8480,19160,9440,7320.0,8270,15710.0,46930,22550,67480.0,11310.0,13200,53150,27410,28450,31850,4150,8610,29956,11140,40990.0,59360,23860,4370,11960,16178,6300.0,29260,12510,17660,56510,36960,43260,9580,121300,20960,2370,15540,51170.0,4600.0,7890,34180,17200,23400.0,23940,56380,9501,21110.0,5210,49560,7720,46100,6740.0,9030,12530,8220,10219,93767,9090,78850,12500,73820,28080,81100,4910,17410,12360,6510.0
2020-03-05,3730,21440,9390,3250.0,16540,10170,10530.0,10180,9430,14530,41220,30560,16149.0,10880,3340,14890.0,8800,18700,9350,7350.0,8170,16480.0,46290,22300,69070.0,11310.0,13020,54060,26960,28600,32200,4150,8650,30011,11180,41960.0,59730,23730,4410,12230,15970,6240.0,28940,12790,17460,56510,37820,43260,9830,123000,21010,2340,15630,52270.0,4600.0,7970,34010,17150,23780.0,24250,56040,9730,20960.0,5300,49120,7980,49310,6660.0,8970,12250,8430,10178,93856,9470,78850,12200,73610,28150,81190,4840,17410,12220,6990.0
2020-03-06,3790,21310,9280,3250.0,16400,10330,10410.0,10200,9430,14690,44060,30710,16149.0,11600,3380,14890.0,8700,18880,9060,7350.0,8070,16260.0,46290,22050,68040.0,11220.0,12940,54970,26670,28500,32340,4150,8650,30067,11030,42030.0,59650,23570,4370,12230,16053,6240.0,28940,12650,17230,56070,37950,42750,9700,120500,19990,2310,15590,51940.0,4670.0,7810,33240,16540,23780.0,24020,55350,9634,21040.0,5210,49030,7930,51830,6760.0,8970,12530,8400,9976,93322,9220,75860,12250,73400,28180,82140,4790,17200,12140,6720.0
2020-03-09,3530,19830,8640,3190.0,15270,9640,9580.0,9500,8780,13670,42110,29110,16149.0,10800,3290,14140.0,8600,17610,7930,6840.0,7520,15150.0,43070,20550,66540.0,11220.0,11650,51130,24850,26550,30090,3800,8060,29510,10280,37870.0,55520,22020,4170,11390,15680,5520.0,26950,11680,16020,52170,35330,39780,9040,113500,19440,2150,15090,50750.0,4400.0,7280,30920,15930,22170.0,22370,51510,8967,20050.0,5020,45640,7390,48210,6540.0,8350,11670,7820,9290,86834,8670,72460,11400,68330,26230,76690,4480,16149,12010,6080.0
2020-03-10,3460,19810,8180,3190.0,16050,9040,9950.0,9860,8740,13670,42440,29780,16000.0,10440,3330,14140.0,8850,17970,8560,6990.0,7870,14970.0,44680,20700,66540.0,11220.0,11050,51980,25540,26400,29270,3940,8250,29510,10090,34970.0,56410,22320,4230,10990,15763,5870.0,26190,11750,16360,49560,35370,37670,9170,114500,20320,2170,15420,50500.0,4330.0,7280,30280,15750,23690.0,22400,50540,9062,20890.0,5120,43330,7390,49840,6540.0,8280,11100,7470,9168,86834,8790,72460,11400,71650,26930,77390,4640,16500,11970,5470.0
2020-03-11,3440,19520,7610,3400.0,15590,9040,9620.0,9360,8300,13430,40450,29590,15900.0,9730,3390,14140.0,8500,18150,8350,6900.0,7650,15110.0,41790,19300,65610.0,11220.0,10290,50090,25100,26000,27230,3940,8250,29510,10090,34080.0,56410,21990,4190,10240,15763,5690.0,24430,11540,15490,46160,35290,35170,8540,106500,19900,2100,15340,49490.0,4030.0,7040,28180,15050,21410.0,22370,47060,8604,21110.0,5120,40570,6890,49400,6440.0,7850,10880,7230,8724,86212,8710,70920,10650,71570,26470,77300,4610,16149,11860,6020.0
2020-03-12,3380,18410,7080,3170.0,15360,9610,9090.0,8770,7740,13210,40450,27530,14800.0,9070,3160,14140.0,8500,17510,7930,6760.0,7220,14760.0,39470,17950,65440.0,11220.0,9260,46640,23750,24200,25330,3600,7980,29399,9410,31620.0,53090,20630,3950,9530,15556,5370.0,22760,11340,14560,42970,32830,32720,7960,101000,19020,1980,15010,46860.0,4190.0,6570,26220,14030,20260.0,21550,43760,8003,21110.0,5120,37770,6440,47150,6270.0,7310,10130,6740,8118,81590,8410,67460,9950,71080,24790,73400,4280,15200,11800,6080.0
2020-03-13,3150,17780,7050,3140.0,15010,9280,9050.0,8680,7800,13180,40370,25700,13800.0,8580,2940,14140.0,8480,17510,7560,6810.0,7360,14700.0,39530,18250,60890.0,11220.0,9420,46190,23780,24200,24160,3470,7720,29510,9300,32659.0,53090,20770,3830,9440,16427,5270.0,21220,11060,14660,41230,32509,31090,7940,101000,19440,2040,14920,43650.0,3900.0,6150,25480,13080,18930.0,21510,42250,8490,20930.0,4840,35990,6310,44150,6160.0,7370,9600,6290,8159,82212,7860,67190,10400,69810,24850,74360,4150,14820,11580,5970.0
2020-03-16,3150,17570,6980,3120.0,15010,9240,8600.0,8700,7500,13100,40080,25700,13700.0,8240,3140,12060.0,8460,17150,7770,6870.0,7160,14210.0,40320,17450,62460.0,11220.0,9260,43650,23510,23700,22640,3470,8039,28731,9000,34970.0,52940,20660,3750,8860,16634,5170.0,22170,11130,13690,42900,32910,31650,7390,100000,18330,2080,14710,43070.0,3630.0,6150,24500,12180,19030.0,21890,39300,8471,19690.0,5020,34260,6310,44150,6120.0,6960,9600,6190,8724,82212,7910,69980,9990,68330,24180,70900,4330,14290,11300,5970.0
2020-03-17,3270,17300,7050,3120.0,14920,9840,8680.0,8740,7620,13180,40080,25670,13900.0,8140,3140,13720.0,8400,17380,7840,6790.0,7520,14310.0,41140,17950,60350.0,10050.0,9510,43910,23960,22100,23330,3400,8250,28675,9000,33920.0,51540,22020,3790,9470,16468,5140.0,21900,10990,14020,43260,33540,33840,7590,101700,18330,2140,14590,41470.0,3500.0,6150,24920,12430,20260.0,21040,39090,8442,20400.0,5120,34700,6740,44100,6010.0,6800,10240,6190,9007,78657,8020,65830,10200,67620,24520,67440,4390,14750,11370,6130.0
2020-03-18,3290,17430,6590,3070.0,14920,9160,8720.0,8970,7530,13100,40010,25700,14050.0,8470,3050,11730.0,8370,17420,8480,6870.0,7680,14660.0,41270,17950,59640.0,9420.0,9090,45080,23910,22100,23850,3330,8370,28397,8700,32360.0,51250,22320,3830,9300,16385,5140.0,22300,10860,13990,41960,33070,36200,7610,101400,19440,2200,15030,42980.0,3500.0,6150,25410,12430,20170.0,21440,39380,8356,19690.0,5120,34700,6500,45650,6020.0,6830,10460,6620,8886,79102,7990,63450,10000,66910,24720,68570,4550,14750,11540,6450.0
2020-03-19,3060,16880,6210,3060.0,14820,9120,8680.0,8720,7350,12900,39850,24900,14000.0,8000,2940,10400.0,8360,17420,8520,6790.0,7820,14380.0,41270,17250,59960.0,8790.0,8910,42930,23560,21900,23050,3330,8370,28397,8480,32810.0,50510,21960,3690,9400,16178,5030.0,21720,10710,13420,40010,32509,34480,7340,98000,18230,2110,14960,42140.0,3400.0,6070,24380,12300,19030.0,21240,37300,8079,19180.0,5020,33010,6500,44100,6400.0,6700,10170,6590,8522,78835,7980,59260,9750,62690,24210,66580,4660,14750,11050,6400.0
2020-03-20,3210,16309,6650,3000.0,14050,9120,8800.0,8470,7300,12850,39850,24900,13850.0,7810,2970,10400.0,8180,17380,8480,6720.0,7580,14210.0,41270,17350,59490.0,8189.0,9600,40010,23560,20400,22850,3400,8610,28397,8330,32060.0,47040,21960,3690,9400,16136,5030.0,21720,10710,13220,41880,32750,34910,7430,103000,18420,2100,14960,42140.0,3200.0,6120,24890,12100,17700.0,21200,37730,8070,17830.0,4840,30870,6580,43890,5970.0,6700,10380,6680,8563,73325,7740,58790,9800,63400,23990,67440,4640,14050,11260,6510.0
